question,answer_short,answer_ideal,answer_short_agg,answer_ideal_agg,dataset,subset
"Was John McCray a journalist?",Yes,"Yes, John McCray was a journalist.",,,mccray,black_journalism
"Was ""The Way It Was"" a newspaper column?""",Yes,"Yes, ""The Way It Was"" was a column published in the Charleston Chronicle.",,,mccray,black_journalism
"Were Black newspapers published in Columbia during the first half of the 20th-century?",Yes,"Yes, there were several Black newspapers published in Columbia during this time.",,,mccray,black_journalism
"Did John McCray edit The Lighthouse and Informer?",Yes,"Yes, John MCray was the editor of The Lighthouse and Informer.",,,mccray,black_journalism
"Was The Lighthouse and Informer a Black newspaper?",Yes,"Yes, The Lighthouse and Informer was a Black newspaper.",,,mccray,black_journalism
"Why were Black newspapers published in South Carolina?","Several Black newspapers were published in South Carolina to raise awareness about the Black experience in the South.","Black newspapers were created to:
+ foster deeper connections between Black people + publicize Black issues
+ promote Black political progress
+ combat negative depictions of Black people in mainstream media",,,mccray,black_journalism
"Why was John McCray's career as a journalist important?","John McCray used journalism to unite Black South Carolinians and to give them a political voice.","John McCray used journalism, especially while working at The Lighthouse and Informer, as a tool to: + champion Black political participation + further racial equality + unify South Carolina's Black community
+ give Black people a public platform to speak",,,mccray,black_journalism
"What operational challenges did Black newspaper publications face?","Many Black newspapers endured social and financial hardships that threatened their longevity.","Challenges that Black newspapers faced included: + lack of funding + censorship + retaliation from their detractors",,,mccray,black_journalism
"What did Black newspapers write about?","Black newspapers frequently published articles related to social and political issues.","Black newspapers covered topics such as: + births, deaths, and social lives of Black people
+ voting rights + desegregation + racial equality + education
+ art, music, and literature",,,mccray,black_journalism
"How did journalism empower Black South Carolinians?","Black South Carolinians used journalism to unite across the state, and to preserve and share their own stories.","Through journalism, Black South Carolinians: + united politically
+ shared their stories
+ preserved their history
+ fought for their rights
+ publicized their struggles
+ promoted more positive images of Black people",,,mccray,black_journalism
"Was Thurgood Marshall an NAACP lawyer?",Yes,"Yes, Thurgood Marshall was an NAACP lawyer.",,,mccray,civil_rights_leaders
"Was George Elmore the plantiff in a South Carolina civil rights case?",Yes,"Yes, George Elmore was the plantiff in the voting rights lawsuit Elmore vs. Rice.",,,mccray,civil_rights_leaders
"Did James Hinton write a letter to Representative John D. Long in 1944?",Yes,"Yes, Hinton co-authored a letter to Long with E.A. Adams on March 1, 1944.",,,mccray,civil_rights_leaders
"Did I.S. Leevy run for congress in 1954?",Yes,"Yes, I.S. Leevy ran for congress in 1954.",,,mccray,civil_rights_leaders
