"question","answer_short","answer_ideal","answer_agg","dataset","subset"
"Was John McCray a journalist?","Yes","","","mccray","black_journalism"
"Was The Way It Was"" a newspaper column?""","Yes","","","mccray","black_journalism"
"Were Black newspapers published in Columbia during the first half of the 20th-century?","Yes","","","mccray","black_journalism"
"Did John McCray edit The Lighthouse and Informer?","Yes","","","mccray","black_journalism"
"Was The Lighthouse and Informer a Black newspaper?","Yes","","","mccray","black_journalism"
"Why were Black newspapers published in South Carolina?","Several Black newspapers were published in South Carolina to raise awareness about the Black experience in the South.","","","mccray","black_journalism"
"Why was John McCray's career as a journalist important?","John McCray used journalism to unite Black South Carolinians and to give them a political voice.","","","mccray","black_journalism"
"What operational challenges did Black newspaper publications face?","Many Black newspapers endured social and financial hardships that threatened their longevity.","","","mccray","black_journalism"
"What did Black newspapers write about?","Black newspapers frequently published articles related to social and political issues.","","","mccray","black_journalism"
"How did journalism empower Black South Carolinians?","Black South Carolinians used journalism to unite across the state, and to preserve and share their own stories.","","","mccray","black_journalism"
"Was Thurgood Marshall an NAACP lawyer?","Yes","","","mccray","civil_rights_leaders"
"Was George Elmore the plantiff in a South Carolina civil rights case?","Yes","","","mccray","civil_rights_leaders"
"Did James Hinton write a letter to Representative John D. Long in 1944?","Yes","","","mccray","civil_rights_leaders"
"Did I.S. Leevy run for congress in 1954?","Yes","","","mccray","civil_rights_leaders"
"Did Modjeska Simkins testify about wronful polling practices in 1944?","Yes","","","mccray","civil_rights_leaders"
"Why did James Hinton and E.A. Adams write to Representative John D. Long of South Carolina in March 1944?","Hinton and Adams wrote to Long because he had recently introduced a resolution to the House of Representatives that inaccurately depicted race relations in South Carolina.","","","mccray","civil_rights_leaders"
"What was the relationship like between George Elmore and John McCray?","Though Elmore and McCray had once been close allies, rumors circulating in the early 1950s created distance between the two men.","","","mccray","civil_rights_leaders"
"Did I.S. Leevy support the presidency of Dwight Eisenhower?","Yes, I.S. Leevy favored many of the actions that Eisenhower did to improve Black life in America during his presidency.","","","mccray","civil_rights_leaders"
"Who was Osceola McKaine?","Osceola McKaine was a prominent civil rights activist from Sumter, South Carolina.","","","mccray","civil_rights_leaders"
"Why did Modjeska Simkins testify about polling in Columbia, SC in 1944?","Simkins testified about polling in South Carolina because some voting locations were particpating in illegal polling activities.","","","mccray","civil_rights_leaders"
"When was The Lighthouse and Informer established?","1938","","","mccray","lighthouse_and_informer"
"Where was The Lighthouse and Informer published?","South Carolina","","","mccray","lighthouse_and_informer"
"Was Peter Kelly the editor of The Lighthouse and Informer?","No","","","mccray","lighthouse_and_informer"
